video_id,university_name,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
X8j598Tgx9o,IIT Bombay,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,,Garima Bangar [ IIT Bombay ],2024-01-15T13:07:10Z,2024,13476321,467007,1380,PT34S,unknown,https://www.youtube.com/watch?v=X8j598Tgx9o,15,Relevant,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,15,98,0,0,15,98,0,8,0,0,1,0.034756,16.416444777553778,13.054101667125291,7.2305631534092925,899
z9u7-PI7po4,IIT Madras,IIT Madras | Campus Beats | #iitmadras #iit,"Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, ...",IITian buddy,2025-09-18T19:38:19Z,2025,9440346,191440,602,PT53S,unknown,https://www.youtube.com/watch?v=z9u7-PI7po4,18,Relevant,IIT Madras | Campus Beats | #iitmadras #iit,"Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, .","IIT Madras | Campus Beats | #iitmadras #iit Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, .",8,43,22,134,30,178,0,2,0,1,0,0.020343,16.060503295920682,12.162334946137356,6.401917196727186,287
CkQ_yJEpoak,KIIT University,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee,After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were ...,The Deshbhakt,2025-02-18T16:50:53Z,2025,3390160,155221,17975,PT17M21S,unknown,https://www.youtube.com/watch?v=CkQ_yJEpoak,11,Relevant,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee,After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were .,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were .,16,95,19,121,35,217,0,0,0,0,0,0.051088,15.036387970854262,11.952611629262629,9.796792813865164,499
uXn85kgphuA,BITS Pilani,BITS Pilani College Review | In Short,,Apna College,2023-02-11T14:56:02Z,2023,2459022,132348,1544,PT1M,unknown,https://www.youtube.com/watch?v=uXn85kgphuA,15,Relevant,BITS Pilani College Review | In Short,,BITS Pilani College Review | In Short,7,37,0,0,7,37,0,0,0,0,0,0.054449,14.715274674550276,11.793197651903242,7.342779189331845,1237
yjgC5P68l6o,IIT Madras,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb",Thanks @BestPlaceToBuild for inviting me to IIT Madras. iit madras campus tour iit placements vlog iit vlog iit madras placement ...,Akash Jaiswal (IITB),2024-12-23T12:05:32Z,2024,4409759,123431,248,PT41S,unknown,https://www.youtube.com/watch?v=yjgC5P68l6o,28,Relevant,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb",Thanks @BestPlaceToBuild for inviting me to IIT Madras. iit madras campus tour iit placements vlog iit vlog iit madras placement .,"4.3Cr Highest package😱of IIT Madras | IIT Madras Campus Tour, #minivlog #placement #iitmadras #iitb Thanks @BestPlaceToBuild for inviting me to IIT Madras. iit madras campus tour iit placements vlog iit vlog iit madras placement .",14,99,21,130,35,230,1,4,1,0,0,0.028047,15.299330824173405,11.723445676122862,5.517452896464707,556
cp3UD82R03A,IIT Bombay,IIT Bombay College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-02-08T17:34:19Z,2023,1440221,112539,1415,PT53S,unknown,https://www.youtube.com/watch?v=cp3UD82R03A,15,Relevant,IIT Bombay College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,IIT Bombay College Review in Short shorts Alpha 3.0 Placement Batch (Java+DSA) : .,6,34,8,47,14,82,0,0,0,0,0,0.079123,14.18030782633639,11.63106399298727,7.255591274253665,1240
jLSWUeomCB0,IIT Madras,🇮🇳 IIT Madras Campus Tour,Thank you for inviting me IIT-ians! I toured the campus for the first time. Its massive! I wish every student gets to enjoy such campus ...,Hobby Explorer,2024-03-08T11:11:31Z,2024,1171638,76063,256,PT39S,unknown,https://www.youtube.com/watch?v=jLSWUeomCB0,23,Relevant,🇮🇳 IIT Madras Campus Tour,Thank you for inviting me IIT-ians! I toured the campus for the first time. Its massive! I wish every student gets to enjoy such campus .,🇮🇳 IIT Madras Campus Tour Thank you for inviting me IIT-ians! I toured the campus for the first time. Its massive! I wish every student gets to enjoy such campus .,5,25,26,137,31,163,0,0,0,2,0,0.065139,13.973914181193228,11.23933037015992,5.54907608489522,846
ID0-RbOEbvg,IIT Madras,IIT Madras College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-02-04T14:38:51Z,2023,1014345,71299,1140,PT47S,unknown,https://www.youtube.com/watch?v=ID0-RbOEbvg,15,Relevant,IIT Madras College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,IIT Madras College Review in Short shorts Alpha 3.0 Placement Batch (Java+DSA) : .,6,34,8,47,14,82,0,0,0,0,0,0.071415,13.829754627809663,11.174651606402389,7.039660349862076,1244
VAYBZlthS4o,IIT Patna,IIT Bombay vs IIT Patna Alumni Power and Facilities Unveiled | IIT Motivation #shorts #iitbombay,IIT Bombay vs IIT Patna Alumni Power and Facilities Unveiled | IIT Motivation #shorts #iitbombay jee mains jee mains 2024 results ...,JEE BrahMos,2024-07-22T13:30:26Z,2024,1475861,70460,207,PT20S,unknown,https://www.youtube.com/watch?v=VAYBZlthS4o,14,Relevant,IIT Bombay vs IIT Patna Alumni Power and Facilities Unveiled | IIT Motivation #shorts #iitbombay,IIT Bombay vs IIT Patna Alumni Power and Facilities Unveiled | IIT Motivation #shorts #iitbombay jee mains jee mains 2024 results .,IIT Bombay vs IIT Patna Alumni Power and Facilities Unveiled | IIT Motivation #shorts #iitbombay IIT Bombay vs IIT Patna Alumni Power and Facilities Unveiled | IIT Motivation #shorts #iitbombay jee mains jee mains 2024 results .,15,96,22,131,37,228,0,4,0,0,0,0.047882,14.20475278383658,11.162814644244133,5.337538079701318,710
LCaucdUInM8,IIT Madras,IIT Madras Campus Tour In 1 Minute | Pehla Campus,"IIT Madras Campus Tour In 1 Minute | #iitmotivation ,#iitmadras ,#iit ,#pehlacampus ,#shorts #iitvideos #iitvlogs #iitmadras ...",Pehla Campus,2023-02-15T13:40:45Z,2023,905026,49444,182,PT57S,unknown,https://www.youtube.com/watch?v=LCaucdUInM8,28,Relevant,IIT Madras Campus Tour In 1 Minute | Pehla Campus,"IIT Madras Campus Tour In 1 Minute | #iitmotivation ,#iitmadras ,#iit ,#pehlacampus ,#shorts #iitvideos #iitvlogs #iitmadras .","IIT Madras Campus Tour In 1 Minute | Pehla Campus IIT Madras Campus Tour In 1 Minute | #iitmotivation ,#iitmadras ,#iit ,#pehlacampus ,#shorts #iitvideos #iitvlogs #iitmadras .",10,49,17,126,27,176,0,8,0,0,0,0.054834,13.715720056491174,10.808616219704092,5.209486152841421,1233
